City,AQI,PM2.5,PM10,NO2,CO,SO2,O3,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm),Pressure (hPa),Vehicle Count,Industrial Activity Index,Health Impact Score
Rajkot,59,227.411137,160.3723992,44.82060308,5.985617321,37.12519659,58.06399145,11.92333309,64.42498009,12.9214052,14.4739554,976.4265734,198941,4.862272127,10
Bangalore,443,219.7142449,279.8012603,78.17501014,5.06198054,27.13655521,40.7775257,16.73825241,23.11236436,19.4054085,34.79004796,1022.471409,35588,5.260538359,10
Bhopal,56,94.84925949,262.3244272,70.01805438,6.589327,34.62709391,42.72693673,30.38848235,63.63439285,13.41299761,194.3607994,984.5624781,430785,3.799078986,10
Srinagar,342,120.9832875,213.3742888,71.84261526,4.443048847,32.29761848,97.02049922,32.69460544,69.65561489,19.22522479,233.8547409,950.2093039,209382,4.42670618,10
Hyderabad,492,184.2622881,165.1087307,16.16777511,0.553948959,6.72257221,22.82306529,12.51491632,93.22173022,10.36803016,91.75196592,1021.432263,257650,9.349908601,10
Bangalore,235,73.87958861,115.7471482,68.05653857,7.368938889,36.65113845,44.77693773,41.1967548,65.33743589,18.43504699,105.3058085,976.9372307,224226,8.202083206,10
Jaipur,421,146.4176354,180.3794749,26.15830574,8.983475134,4.554785926,72.08818467,14.85715669,74.67031214,10.37242695,196.8625191,954.9498796,319401,8.238791798,10
Nashik,476,125.8529646,43.92400248,61.03614704,9.912313429,9.937669986,8.629119779,29.02559098,74.9491793,18.15667044,136.7037686,1029.041826,427481,1.700020644,10
Chennai,183,219.92366,144.9477962,55.0094328,4.565396667,13.33475322,54.43191196,14.5915236,22.31727229,18.42457731,23.27613257,999.3966336,460041,5.444339728,10
Srinagar,259,24.78333002,149.9196339,41.94527872,5.271552134,39.22786952,91.44479015,15.18337786,28.12899485,14.48384606,181.3132273,1024.135585,50780,8.92245544,10
Nashik,79,91.42185504,257.7393785,71.21397994,7.801444657,45.9366835,29.19867807,37.85467045,97.73371061,19.72041162,102.3161921,1018.00645,44237,8.80168168,10
Bangalore,228,134.1711948,171.5217305,21.94022186,8.9589838,7.613287187,11.38384102,10.3802417,68.99842922,4.465144141,205.6651644,988.6759127,430157,3.198457827,10
Rajkot,117,169.7467897,156.9535819,26.9262685,0.164149961,7.882042435,19.58767327,40.69882574,23.56423477,0.517800899,15.26414216,973.1778548,483497,1.700513757,10
Nashik,459,226.6817494,77.66364989,11.30577827,8.844469326,22.75041041,38.94240364,10.70211486,46.54464783,17.03731599,112.9491162,1032.253402,294754,2.753579328,10
Vadodara,168,63.74880834,112.8268322,66.23412078,4.877321174,31.18859561,97.15412343,11.91892063,65.85828644,8.993116986,83.7931963,976.9682764,269102,8.590331519,10
Chennai,103,90.74139465,210.1667739,31.59882348,8.967987605,30.16844323,71.15662948,23.06504091,59.40041918,12.01488514,170.7864091,1028.917172,286332,7.357334488,10
Rajkot,64,121.9416978,269.8921098,7.937885865,2.519702125,14.79605218,62.78380301,38.3540706,69.64054558,5.248948116,65.75200989,967.4713821,213342,8.204931772,10
Varanasi,456,224.0015444,228.1386352,10.7112515,9.025432196,3.144914904,51.79482272,36.43633994,62.99345147,13.98166629,96.25402213,979.5198994,54278,0.465876757,10
Patna,93,91.75523482,203.1406182,31.12097835,0.356861805,33.55488487,13.38973431,26.91593574,65.82474403,16.21782779,219.0467991,1044.948564,495231,5.852868493,10
Agra,292,104.5712218,269.0281047,58.33657712,8.871488122,11.71171929,39.46421844,28.06548211,41.3976074,1.290218237,41.52377997,1006.13746,307485,6.825525395,10
Meerut,125,171.8808589,229.0141086,73.55888028,4.295440032,10.1605655,24.34127001,42.57497164,87.13845625,19.86341676,203.0408554,992.9320045,375208,1.739344377,10
Agra,438,129.0307658,123.2239919,75.69127157,8.456819462,18.961951,26.5849299,19.70478124,86.22985593,18.47921012,232.8439396,1015.737084,44248,5.714764301,10
Agra,336,207.0012378,92.31284258,52.59449015,9.466222394,2.358412695,40.64962029,25.62496431,76.26217062,5.169012394,117.3719726,1013.236815,429154,4.826510281,10
Vadodara,79,233.5540671,217.953978,64.24809669,7.488067933,2.366604922,29.94276421,33.10581714,95.80592854,14.50869584,71.13671236,959.6874627,226516,0.996431932,10
Vadodara,102,99.26744398,259.6856905,43.03502435,3.530524015,42.03016704,93.0960269,11.8528079,83.43182897,12.57804767,195.494601,1026.433135,162465,6.801034076,10
Nashik,350,60.8372558,126.9764249,20.83287348,0.265830719,13.76997186,45.77298202,23.63092175,79.1594836,11.80599333,194.0144563,954.958445,199540,4.321867167,10
Vadodara,202,22.14186166,288.1682224,43.2368522,2.313452467,45.28445115,25.73549288,14.26611674,28.45017782,2.94864119,99.32932543,1035.026729,187085,7.410599763,10
Nagpur,308,103.5947471,262.826603,51.33126537,6.751144374,48.96963252,80.60419983,21.98447765,53.41690494,13.96258782,39.06825946,1005.627101,400651,1.293952593,10
Varanasi,318,138.9447623,195.9226256,57.91736406,2.263114522,29.91193546,46.679528,21.76956867,87.91718268,8.34962611,193.0360291,1000.565199,369620,9.232371071,10
